Abstand,Zeit,Datum,Lange,Breite,Geschwindigkeit Fahrrad, Geschwindigkeit KFZ, Lange KFZ,checksumme
150.806,173941,290620,48.7333,9.12759,21.2942,460.418,30.9831,33910000000
109.775,175719,290620,48.6907,9.15352,3.50396,229.076,29.4676,24985300000
136.653,175725,290620,48.6904,9.15368,13.4288,490.47,54.8598,31104000000
138.681,72130,300620,48.738,9.16384,18.5754,588.512,66.4332,13430600000
155.715,72253,300620,48.7413,9.1662,1.6742,641.615,37.909,15110900000
197.071,72452,300620,48.7458,9.16933,12.3731,337.203,24.7397,19185200000
200.963,72833,300620,48.7611,9.17994,40.4271,226.519,10.295,19695900000
189.805,192910,300620,48.7682,9.17934,21.033,801.074,29.9543,49275200000
163.683,193227,300620,48.7653,9.18356,17.4309,1310.9,22.042,42580600000
190.753,193701,300620,48.7615,9.18224,15.1141,368.389,15.3885,49733400000
179.352,195611,300620,48.7079,9.17007,19.3348,756.416,8.90399,47107300000
120.157,200256,300620,48.6914,9.16602,12.0953,413.315,5.76362,32283900000
